Date,Capital
2009-10-15,19409.534025543202
2009-10-16,18993.40220649286
2009-10-19,18992.7311908702
2009-10-20,19143.911659657635
2009-10-21,19143.23930005273
2009-10-22,19237.366338756692
2009-10-23,19204.006139841276
2009-10-26,19030.012680983742
2009-10-27,18838.4172179754
2009-10-28,18618.842993291335
2009-10-29,18618.13299095851
2009-10-30,17601.228849185412
2009-11-02,17601.228849185412
2009-11-03,17601.228849185412
2009-11-04,17600.53299841866
2009-11-05,18725.236408107718
2009-11-06,19102.246099994492
2009-11-09,20414.189222432684
2009-11-10,20777.282449182694
2009-11-11,21301.04759160257
2009-11-12,21042.96041997539
2009-11-13,21345.327253401352
2009-11-16,22029.764311491093
2009-11-17,22247.36722090225
2009-11-18,21871.432764684632
2009-11-19,21688.517322147425
2009-11-20,21687.7867112252
2009-11-23,22703.96585216274
2009-11-24,22484.59059409839
2009-11-25,22483.872695292703
2009-11-27,21226.9372833824
2009-11-30,21495.814432763007
2009-12-01,22222.826919195028
2009-12-02,22423.832166790242
2009-12-03,22091.612153567505
2009-12-04,21911.072246873897
2009-12-07,21910.364608016833
2009-12-08,21421.466278536715
2009-12-09,21862.761349620083
2009-12-10,22435.287024932324
2009-12-11,22171.693524910625
2009-12-14,22171.005390412643
2009-12-15,21904.517937776905
2009-12-16,21997.100433058804
2009-12-17,21308.987292450092
2009-12-18,21998.35154785991
2009-12-21,22810.32505377819
2009-12-22,23320.779892629744
2009-12-23,23798.70574665252
2009-12-24,24429.267606410318
2009-12-28,24962.242511681794
2009-12-29,24825.87099836116
2009-12-30,24850.89329438329
2009-12-31,24402.005715873664
2010-01-04,24401.34395840886
2010-01-05,24432.62619019815
2010-01-06,24008.150284867635
2010-01-07,23878.754695579235
2010-01-08,23878.107734245117
2010-01-11,23813.542661176936
2010-01-12,23663.182210419112
2010-01-13,23508.670215893304
2010-01-14,23508.032621898594
2010-01-15,22886.71984167158
2010-01-19,22886.102252822944
2010-01-20,22176.60156568023
2010-01-21,21947.13106720998
2010-01-22,21682.892218118937
2010-01-25,21682.892218118937
2010-01-26,21682.223180771394
2010-01-27,22056.87253503101
2010-01-28,20718.87552307037
2010-01-29,20394.04803493578
2010-02-01,20393.36885077476
2010-02-02,21000.90972117023
2010-02-03,21302.210478033023
2010-02-04,19885.02250583271
2010-02-05,19884.3527714556
2010-02-08,19672.480304693
2010-02-09,20241.126522958137
2010-02-10,20120.57839531735
2010-02-11,20757.41345346011
2010-02-12,20968.068262367753
2010-02-16,21921.494362799458
2010-02-17,22401.251557652704
2010-02-18,22705.666021392073
2010-02-19,22781.160808399436
2010-02-22,22613.598806396825
2010-02-23,22407.793577586675
2010-02-24,22407.122283590943
2010-02-25,22270.42651063151
2010-02-26,22665.86785383558
2010-03-01,23540.964900370505
2010-03-02,24014.518113837104
2010-03-03,24117.039943556676
2010-03-04,24267.161194217482
2010-03-05,25277.733515738986
2010-03-08,25584.078506924852
2010-03-09,25866.01353865368
2010-03-10,26523.861946020934
2010-03-11,26872.924366256626
2010-03-12,26964.620285716646
2010-03-15,26790.452588811408
2010-03-16,26789.79349286742
2010-03-17,27069.003632598946
2010-03-18,27315.85894927146
2010-03-19,26857.678629773673
2010-03-22,26857.027290506227
2010-03-23,27639.799680780252
2010-03-24,27464.53445572646
2010-03-25,27339.32632678161
2010-03-26,27142.655980845666
2010-03-29,27142.019046773243
2010-03-30,27409.52507970287
2010-03-31,27056.324473453795
2010-04-01,26924.933778632192
2010-04-05,26924.312425316275
2010-04-06,27215.77689079404
2010-04-07,27175.10743049482
2010-04-08,27196.571867874965
2010-04-09,27682.345977004574
2010-04-12,27900.379472497632
2010-04-13,28180.546865670058
2010-04-14,29209.71015268651
2010-04-15,29651.425679825297
2010-04-16,28742.99413805462
2010-04-19,28538.50729091344
2010-04-20,28537.898085440513
2010-04-21,28853.603714698
2010-04-22,28852.999278131898
2010-04-23,29545.33938650071
2010-04-26,29568.417390112998
2010-04-27,27787.43284501914
2010-04-28,27524.025169751145
2010-04-29,27523.446336965484
2010-04-30,26384.685131008213
2010-05-03,26384.119862356685
2010-05-04,24329.422556535046
2010-05-05,24328.840917727513
2010-05-06,22208.73348400298
2010-05-07,22208.73348400298
2010-05-10,22208.179725574464
2010-05-11,22094.410376177875
2010-05-12,23288.48514064117
2010-05-13,22702.522650828658
2010-05-14,21354.40620089919
2010-05-17,21284.93642117915
2010-05-18,20344.446424845177
2010-05-19,20344.446424845177
2010-05-20,20344.446424845177
2010-05-21,20344.446424845177
